Artist,Song Title ,Number of Spotify Streams ,,,
Jason Aldean ,Trouble With a Heartbreak,"39,756,404",,,
Jason Aldean ,The State I'm In,"2,513,398",,,
Jason Aldean ,Midnight and Missin' You,"2,239,486",,,
Jason Aldean ,Ain't Enough Cowboy,"5,696,143",,,
Jason Aldean ,God Made Airplanes,"7,884,552",,,
Jason Aldean ,My Weakness,"5,225,746",,,
Jason Aldean ,Holy Water,"1,550,897",,,
Jason Aldean ,Rock and Roll Cowboy,"5,982,338",,,
Jason Aldean ,Your Mama,"1,946,247",,,
Jason Aldean ,Tattoos on This Town,"53,484,639",,,
Jason Aldean ,Dirt Road Anthem,"293,519,744",,,
Jason Aldean ,Church Pew or Bar Stool,"13,765,694",,,
Jason Aldean ,Just Passing Through,"12,092,360",,,
Jason Aldean ,Fly Over States,"81,070,382",,,
Jason Aldean ,My Kinda Party,"100,770,615",,,
Jason Aldean ,I Ain't Ready to Quit,"11,494,147",,,
Jason Aldean ,It Ain't Easy,"5,915,445",,,
Jason Aldean ,Country Boy's World,"14,102,215",,,
Jason Aldean ,Heartache That Don't Stop Hurting,"8,729,915",,,
Jason Aldean ,Texas Was You,"15,611,295",,,
Jason Aldean ,Don't You Wanna Stay - Jason Aldean with Kelly Clarkson,"83,445,140",,,
Jason Aldean ,See You When I See You,"17,553,558",,,
Jason Aldean ,If She Could See Me Now,"6,966,721",,,
Jason Aldean ,Days Like These,"8,644,525",,,
Jason Aldean ,Just Gettin' Started,"25,691,866",,,
Jason Aldean ,Show You Off,"14,919,020",,,
Jason Aldean ,Burnin' It Down,"139,426,799",,,
Jason Aldean ,Tryin' to Love Me,"15,347,754",,,
Jason Aldean ,Sweet Little Somethin',"9,276,417",,,
Jason Aldean ,Laid Back,"6,235,470",,,
Jason Aldean ,Tonight Looks Good on You,"44,415,544",,,
Jason Aldean ,Too Fast,"5,960,714",,,
Jason Aldean ,If My Truck Could Talk,"6,460,039",,,
Jason Aldean ,Miss That Girl,"8,595,083",,,
