ID,Sex,Height,Weight
110,female,206.8,80.1
111,female,174.5,69.7
112,male,167.5,72.7
113,female,170.6,66.4
114,female,178,71.5
115,female,159.3,67
116,male,167.2,75.1
117,male,167.4,81.3
118,female,179.9,77
119,female,174,71.7
120,male,168.6,75.3
121,male,169.4,62
122,female,179.7,68.3
123,female,165.2,64.5
124,female,164.8,64.1
125,male,143.3,59
126,female,168.1,68.1
127,female,167.3,67.2
128,female,188,76.9
129,female,190.8,81.7
130,male,161.5,65.2
131,male,164.1,78
132,male,170.2,78.8
133,female,173.4,67.8
134,female,171.4,64.9
135,male,151.1,72.1
136,female,171.7,68.9
137,male,158,79.4
138,male,152.3,75.1
139,female,175.7,71.4
140,male,173.6,73.3
141,female,176,72.3
142,male,175.8,80.6
143,male,170.9,70.9
144,female,177.9,70
145,male,150.8,76.2
146,male,167.5,81.5
147,male,174.5,79.2
148,female,167.5,67.8
149,female,166.5,61.7
150,male,164.7,73.4
151,male,157.3,70.6
152,male,152.1,66.5
153,female,187,74.7
154,female,169.5,69.6
155,female,178,72.6
156,female,174.4,71.3
157,female,165.4,64.4
158,female,180.9,72.9
159,female,176.7,68.7
160,male,156.3,70.5
161,male,170.1,72.2
162,male,158.7,75.1
163,male,165.3,80.4
164,female,189,75.2
165,female,176.2,73.9
166,male,175.9,82.6
167,male,168.8,89.9
168,female,171.7,69.1
169,male,176.6,70.9
170,male,146,66.4
171,male,160.2,77.4
172,male,163.7,76.2
173,female,177.8,74.9
174,male,168.8,77.8
175,male,151.3,72.2
176,female,163.1,64.6
177,male,171.1,65.9
178,female,166.6,73.4
179,female,180.1,69.4
180,male,166.1,77.9
181,male,165.6,76.1
182,male,168.1,73.6
183,female,171.7,69.2
184,female,174.3,68.9
185,female,173.8,66.7
186,female,168.5,67.1
187,male,161.8,80
188,male,172.3,77.1
189,male,169.5,84.3
190,male,161.5,71.4
191,female,154.8,60
192,male,173.4,83.5
193,male,165.9,70.9
194,female,178.5,68.3
195,female,182.6,74.5
196,female,162.1,64.9
197,female,189.8,78.6
198,female,178.9,70.8
199,female,188.4,74.2
200,female,165.4,63.3
201,female,176.7,72
202,male,169.7,77.5
203,male,157.1,64
204,female,174,70.9
205,female,182.7,71.1
206,female,169.2,67.8
207,male,178.8,86.2
208,male,163,76.6
209,female,174.9,73
210,female,157.2,63.7
211,male,171.5,83
212,male,162,75.8
213,female,167.2,66.3
214,male,160.2,80.8
215,male,170.8,80.6
216,female,176.3,72.3
217,male,147.2,58.5
218,female,167.9,66.5
219,female,174.6,67.4
220,male,167.8,81
221,female,170.3,66.6
222,female,181.1,72.6
223,male,166.9,82.9
224,male,136,58.8
225,male,166.7,79.5
226,male,141.3,70.5
227,female,186.7,74.9
228,male,169.6,78.8
229,male,158.5,61
230,female,166.8,65.6
231,male,156.1,70.5
232,male,162.9,73.6
233,female,171.9,69.5
234,male,176.7,74
235,female,189.4,78
236,male,156.6,70
237,female,153,58.7
238,male,168.6,73.4
239,male,166.4,80.9
240,male,151.2,68.1
241,female,171.8,66.8
242,female,195.6,77.8
243,female,196.9,80.3
244,female,176.6,70.5
245,female,166.4,67.2
246,female,176.7,69.5
247,male,145.6,64.1
248,male,143.1,68.4
249,male,168.5,74.2
250,male,162.7,74.1
251,female,168.5,69.6
252,female,189.5,78.4
253,male,181.5,76.6
254,female,166.9,69.6
255,male,168.7,74.4
256,female,178.7,75.6
257,female,181.2,73.2
258,male,171.5,83.5
259,male,176.3,71.5
260,male,158,64.9
261,male,168.1,79.6
262,female,167.4,65.3
263,female,183.5,71
264,female,167.5,65.3
265,male,171.7,73.4
266,male,176.7,88.7
267,female,181.3,74.7
268,male,170.6,74.4
269,male,167.2,78.3
270,male,154.3,67.7
271,male,170.3,83.2
272,male,168,69.2
273,male,169.3,66.4
274,male,167.2,75.3
275,male,161,68.5
276,male,162.2,73.7
277,male,169.9,83.3
278,female,186,73.8
279,male,164.7,72
280,male,154.7,75.1
281,female,165.1,68.5
282,female,186.1,74.5
283,male,160.1,77.5
284,female,170.1,68.8
285,male,149.8,62.2
286,female,177.9,72.9
287,female,177,69.9
288,male,153.3,55.9
289,male,161.6,79.3
290,male,145,66.7
291,female,170.7,68.1
292,female,177.7,70.4
293,female,162.7,66.9
294,male,146.1,63.2
295,female,173.6,68.5
296,female,183.3,75
297,female,153.3,63.1
298,male,174,81.4
299,male,157.2,69.5
300,male,144.5,73.4
301,male,161.9,67.8
302,female,160.1,65.8
303,male,176.2,81.5
304,female,163.4,64.2
305,male,169.6,75.1
306,female,159.1,63.7
307,female,179.2,71.7
308,female,165.1,64.5
309,female,153.4,65.8
310,female,168.6,67.2
311,male,167.4,90.1
312,male,174.8,75.9
313,female,171.1,70.9
314,female,183.6,73.9
315,female,164,69.7
316,male,155.3,62.9
317,female,186.6,79.9
318,male,170.3,75.8
319,female,179,68.5
320,male,157.1,71.8
321,male,163,75.4
322,male,185.1,82.8
323,male,172.7,78.6
324,female,178.6,73.4
325,female,166.5,66.3
326,female,194.5,74.3
327,male,170.7,79.6
328,male,151.9,66.5
329,female,173.4,68.9
330,male,155.1,72.1
331,male,185.8,88.7
332,female,156.8,62.9
333,male,152.1,69.3
334,male,165.1,74.1
335,female,173,70.5
336,male,171.9,68.4
337,female,155.7,60
338,male,173.2,80
339,male,173.9,76.5
340,male,161.4,72.8
341,male,154.8,66.5
342,female,171.9,69.4
343,male,159.9,72.7
344,male,154,67.5
345,female,170.8,69.4
346,female,181.8,73.3
347,female,185.1,79.5
348,female,167.7,67.9
349,male,169.3,77.5
350,female,183.1,70.8
351,female,189.2,77.3
352,female,167.2,67.8
353,male,174.2,71.2
354,female,168.5,66.2
355,female,181.5,74.1
356,male,184.3,75.3
357,female,176.8,72
358,female,180.5,71.7
359,male,166.7,72.8
360,male,154.3,61.7
361,male,173.2,86.9
362,male,172,73
363,female,189,72.9
364,female,178.9,74.9
365,female,185.5,72.8
366,female,181.2,72.3
367,female,179.3,71
368,female,178.9,71.1
369,male,160.6,73.8
370,male,147.4,72.7
371,male,170.6,78
372,female,187.9,75.9
373,female,165,66.8
374,female,163.9,64.6
375,female,180.9,69.1
376,female,173.8,69.3
377,female,175.7,69
378,female,182.4,73.1
379,female,182.5,75
380,female,172.4,69.3
381,female,171.9,66.9
382,male,174.3,78.5
383,male,160,71.8
384,male,168.4,76
385,female,175.7,70.6
386,female,185.6,73.4
387,male,160.2,70.3
388,female,179.3,68.7
389,female,189.3,77.6
390,female,174.9,70.4
391,male,169.8,75.5
392,male,161.8,68.6
393,female,186.3,74.2
394,male,159.6,67.9
395,male,164.1,79.1
396,female,183.8,76.3
397,female,181.1,74.5
398,female,179.1,71.4
399,male,160.2,68.4
400,female,172.2,71.4
401,male,157.1,65.2
402,female,173.9,68
403,female,177.3,70.4
404,male,159.8,74.2
405,female,175.5,72.6
406,female,184.4,70.4
407,female,173.9,70.3
408,male,162.9,73.2
409,female,174.3,68
410,female,170.2,67.1
411,female,173.6,67.4
412,male,165.1,75.7
413,female,174.3,68.6
414,male,178.3,80.9
415,male,149.4,65.5
416,male,161,73.4
417,male,169.3,78.2
418,male,180.6,81
419,male,167.3,73.5
420,male,162.9,73.8
421,male,159.9,78.3
422,male,167.1,75.4
423,female,151.9,61.6
424,male,172.9,84.7
425,female,161.4,65.6
426,male,161.2,60.6
427,male,164.6,82.8
428,female,174.3,72.1
429,female,172.3,69.6
430,male,165.2,81.3
431,male,170.3,74.4
432,male,174.1,80.3
433,male,165.8,78.9
434,male,162.2,69
435,female,163,61.6
436,male,176.9,71.8
437,female,155.1,61.5
438,female,171.5,62.8
439,female,181.5,72.3
440,male,164.6,75.6
441,female,192.7,76.1
442,male,178.8,78.9
443,female,174.6,72.3
444,male,162.4,74
445,female,189.9,77.9
446,male,169.1,71.2
447,male,147.5,67
448,female,175.8,74
449,female,176.2,71.1
450,male,161.9,69.5
451,male,162.8,76.4
452,male,155.4,63
453,male,152.6,69.5
454,female,178.2,68.9
455,female,166.3,69.7
456,female,174.5,71.8
457,female,184.1,73
458,female,167.5,69.5
459,male,172.5,85.5
460,male,172.1,73.5
461,male,150,70.2
462,male,167.2,78.6
463,male,151.9,69.1
464,male,152.5,63.3
465,female,171.8,72.1
466,male,168.3,65.6
467,female,163.5,64.4
468,female,178.5,68.3
469,female,179.2,73.1
470,male,156.1,73.3
471,female,181.5,73.6
472,male,172.9,77.1
473,male,163.4,75.1
474,female,162.8,65.9
475,male,168.4,61.6
476,female,176.1,72.1
477,female,165.6,67.3
478,male,157.8,68.4
479,female,175,69.8
480,male,151.5,66
481,male,172.1,78.1
482,male,165.4,80
483,male,160.6,72.2
484,male,163.7,75.2
485,male,176.3,74.9
486,male,156,63.1
487,male,155.5,80.1
488,female,188.4,73.7
489,female,170,67.2
490,female,182.2,73.7
491,male,156.8,76.8
492,male,147.2,58.5
493,male,171.2,77.3
494,female,167.5,64.3
495,female,170.2,68.1
496,male,164.9,74.8
497,female,179.4,72.4
498,male,165.1,70.9
499,female,168.2,64.9
500,male,162.6,66.3
501,male,157.9,75.2
502,female,158,67.8
503,male,154.8,67.5
504,female,187.7,74.9
505,male,171.5,72.1
506,male,148.7,70.5
507,female,178.6,70.7
508,female,169.2,68.6
509,male,167.4,77
510,female,155.1,62.5
511,male,155.1,65.2
512,male,165.8,78.6
513,female,194,75.7
514,female,208.9,83.6
515,male,155.6,63.3
516,female,177.1,71.7
517,male,157.8,69
518,male,180.7,86.5
519,male,169.7,78.5
520,male,141.6,72.9
521,female,183.5,72
522,female,187.2,78
523,female,168,64.4
524,female,171.5,68.1
525,female,157.7,67.2
526,female,167.6,66.5
527,female,181.2,72.3
528,male,164.3,73
